Analytics overview,,,,
2020-02-19 - 2020-04-27,,,,
Content types,All,,,
Devices,All,,,
Source,All,,,
Publish Types,All,,,
Claimed accounts,All Pins,,,
Format,All,,,
,,,,
Day,Impressions,Closeups,Saves,Link_clicks
19/2/2020,24678,1668,434,32
20/2/2020,25775,1599,419,22
21/2/2020,25029,1472,379,20
22/2/2020,24719,1425,315,16
23/2/2020,26790,1555,301,32
24/2/2020,25296,1390,300,20
25/2/2020,22732,1464,339,27
26/2/2020,26587,1787,371,19
27/2/2020,17263,1198,244,17
28/2/2020,15860,1089,207,10
29/2/2020,19975,1592,255,22
1/3/2020,19820,1201,209,12
2/3/2020,16471,1070,209,20
3/3/2020,16374,1103,171,4
4/3/2020,18776,1191,241,27
5/3/2020,23620,1571,371,17
6/3/2020,19054,1455,257,25
7/3/2020,17742,1202,235,23
8/3/2020,23228,1437,305,23
9/3/2020,22192,1346,287,24
10/3/2020,14304,893,152,14
11/3/2020,19623,1284,227,34
12/3/2020,13323,967,167,21
13/3/2020,16842,1247,245,16
14/3/2020,17432,1200,244,21
15/3/2020,26716,1943,431,32
16/3/2020,40025,3203,565,51
17/3/2020,30923,2459,465,35
18/3/2020,40221,3449,592,123
19/3/2020,29204,2937,387,115
20/3/2020,28905,3399,452,140
21/3/2020,39754,4205,553,168
22/3/2020,47945,3418,485,90
23/3/2020,33339,2300,386,44
24/3/2020,31746,2108,356,37
25/3/2020,29959,2184,321,49
26/3/2020,27814,1852,274,27
27/3/2020,30636,2053,326,33
28/3/2020,28874,2001,329,40
29/3/2020,21836,1646,308,40
30/3/2020,25319,2125,307,40
31/3/2020,17790,1417,201,26
1/4/2020,21739,1745,244,28
2/4/2020,18665,1521,241,25
3/4/2020,17661,1550,206,25
4/4/2020,26086,2213,340,27
5/4/2020,22979,1875,313,29
6/4/2020,22327,1748,272,30
7/4/2020,21045,1629,300,24
8/4/2020,18477,1549,260,26
9/4/2020,19959,1638,280,27
10/4/2020,18278,1475,222,24
11/4/2020,12650,1036,173,17
12/4/2020,22413,1586,428,38
13/4/2020,14045,1066,242,23
14/4/2020,21021,1787,304,27
15/4/2020,19178,1534,250,24
16/4/2020,16740,1318,197,20
17/4/2020,11909,837,159,21
18/4/2020,18976,1235,232,31
19/4/2020,13030,984,219,16
20/4/2020,14111,1034,184,22
21/4/2020,14396,975,138,22
22/4/2020,14884,1224,212,25
23/4/2020,21427,1836,273,34
24/4/2020,47945,3418,485,95
25/4/2020,38561,4081,474,102
26/4/2020,29204,2937,387,115
27/4/2020,35224,3521,577,121
28/4/2020,32436,2312,368,45
29/4/2020,23351,1672,218,29
